Is 40:25-31/Mt 11:28-30 (183)
Is 41:13-20/Mt 11:11-15 (184)
Is 48:17-19/Mt 11:16-19 (185)
"Sir 48:1-4, 9-11/Mt 17:9a, 10-13 (186)"
"Is 61:1-2a, 10-11/1 Thes 5:16-24/Jn 1:6-8, 19-28 (8)"
Jer 23:5-8/Mt 1:18-25 (194)
"Jgs 13:2-7, 24-25a/Lk 1:5-25 (195)"
Is 7:10-14/Lk 1:26-38 (196)
Sg 2:8-14 or Zep 3:14-18a/Lk 1:39-45 (197)
1 Sm 1:24-28/Lk 1:46-56 (198)
"Mal 3:1-4, 23-24/Lk 1:57-66 (199)"
"2 Sm 7:1-5, 8b-12, 14a, 16/Rom 16:25-27/Lk 1:26-38 (11)"
"Vigil: Is 62:1-5/Acts 13:16-17, 22-25/Mt 1:1-25 or 1:18-25 (13)"
Acts 6:8-10; 7:54-59/Mt 10:17-22 (696)
"1 Jn 1:1-4/Jn 20:1a, 2-8 (697)"
1 Jn 1:5—2:2/Mt 2:13-18 (698)
1 Jn 2:3-11/Lk 2:22-35 (202)
1 Jn 2:12-17/Lk 2:36-40 (203)
"Sir 3:2-6, 12-14/Col 3:12-21 or 3:12-17/Lk 2:22-40 or 2:22, 39-40"
Nm 6:22-27/Gal 4:4-7/Lk 2:16-21 (18)
1 Jn 2:22-28/Jn 1:19-28 (205)
1 Jn 2:29—3:6/Jn 1:29-34 (206)
1 Jn 3:7-10/Jn 1:35-42 (207)
1 Jn 3:11-21/Jn 1:43-51 (208)
"1 Jn 5:5-13/Mk 1:7-11 or Lk 3:23-38 or 3:23, 31-34, 36, 38 (209)"
"Is 60:1-6/Eph 3:2-3a, 5-6/Mt 2:1-12 (20)"
"Is 42:1-4, 6-7 or Acts 10:34-38/Mk 1:7-11"
1 Sm 1:9-20/Mk 1:21-28 (306)
"1 Sm 3:1-10, 19-20/Mk 1:29-39 (307)"
1 Sm 4:1-11/Mk 1:40-45 (308)
"1 Sm 8:4-7, 10-22a/Mk 2:1-12 (309)"
"1 Sm 9:1-4, 17-19; 10:1a/Mk 2:13-17 (310)"
"1 Sm 3:3b-10, 19/1 Cor 6:13c-15a, 17-20/Jn 1:35-42 (65)"
1 Sm 15:16-23/Mk 2:18-22 (311)
1 Sm 16:1-13/Mk 2:23-28 (312)
"1 Sm 17:32-33, 37, 40-51/Mk 3:1-6 (313)"
1 Sm 18:6-9; 19:1-7/Mk 3:7-12 (314)
1 Sm 24:3-21/Mk 3:13-19 (315)
"2 Sm 1:1-4, 11-12, 19, 23-27/Mk 3:20-21 (316)"
"Jon 3:1-5, 10/1 Cor 7:29-31/Mk 1:14-20 (68)"
"2 Sm 5:1-7, 10/Mk 3:22-30 (317)"
